LEAID	PCT_BACH	PCT_ADVC	P_EX_1_5	P_EX6_10	P_EX1120	P_EX2130	P_EXGT30	M_EXP	MBSAL1_5	MBSAL610	MBSA1120	MBSA2130	MBSAGT30	M_BSAL
0803030	29.6	70.4	11.1	37.0	22.2	25.9	-1.0	14	29947	36192	42671	47718	-1	40562
0803060	46.6	53.3	39.1	19.0	23.6	15.1	3.2	11	37392	42065	50080	56743	59556	44913
0803090	53.0	47.0	23.7	19.7	27.8	23.2	5.6	14	29164	32518	38856	44586	43505	36897
0803120	60.0	40.0	20.0	30.0	25.0	20.0	-1.0	14	27725	31400	35000	39475	-1	33465
0803150	53.3	46.7	20.0	26.7	26.7	26.7	0.0	12	31658	32720	39638	40829	-2	36515
0803180	71.0	29.0	38.7	12.9	22.6	19.4	-1.0	13	28106	29457	36236	39637	-1	33540
0803210	77.8	22.2	27.8	16.7	27.8	22.2	-1.0	14	28610	30583	33910	36644	-1	32960
0803240	50.0	50.0	33.3	22.2	38.9	0.0	-1.0	9	27595	27503	35535	-2	-1	31576
0803270	68.8	18.8	31.3	18.8	31.3	18.8	0.0	11	30750	36842	37511	42045	-2	36123
0803300	58.1	41.9	32.6	14.0	32.6	20.9	0.0	12	30600	33914	36875	43807	-2	35870
0803330	51.3	48.7	31.2	26.0	27.1	13.4	2.2	11	31049	35725	42440	51704	51408	38575
0803360	53.0	46.2	42.8	22.2	19.9	12.2	3.0	10	36817	43988	53111	56132	58263	44640
0803390	71.8	28.2	23.1	30.8	20.5	20.5	-1.0	13	27307	32316	36597	42964	-1	35110
0803420	45.0	55.0	15.0	30.0	30.0	20.0	-1.0	14	27610	29702	34764	35705	-1	32693
0803450	43.2	56.2	27.9	26.6	30.1	12.5	2.9	11	36086	45157	54390	60470	61938	47811
0803480	40.9	58.7	21.7	21.7	30.6	22.4	3.6	14	32691	37804	43421	51723	52865	42069
0803510	71.4	28.6	-1.0	35.7	21.4	28.6	0.0	13	-1	29657	32050	38880	-2	32631
0803540	57.7	42.3	27.9	27.9	24.8	16.0	3.4	12	40613	42082	49914	56081	62119	46527
0803600	57.3	42.7	29.2	13.5	27.0	22.5	7.9	14	30403	34142	41017	42859	45467	37753
0803630	75.0	-1.0	37.5	-1.0	37.5	-1.0	0.0	12	30500	-1	34000	-1	-2	33063
0803690	68.8	31.3	18.8	31.3	25.0	25.0	0.0	13	26393	30632	35634	37497	-2	32804
0803720	62.7	37.3	36.7	24.7	28.9	8.4	-1.0	10	30857	37179	41200	44424	-1	36674
0803750	63.8	32.8	55.2	17.2	20.7	-1.0	-1.0	8	29551	34163	37312	-1	-1	33009
0803780	37.0	63.0	24.5	24.0	21.9	25.5	4.2	14	36848	45252	56971	63102	62379	51027
0803810	56.0	44.0	26.7	21.3	28.0	21.3	-1.0	13	32904	35590	41990	47541	-1	39642
