LEAID	PCT_BACH	PCT_ADVC	P_EX_1_5	P_EX6_10	P_EX1120	P_EX2130	P_EXGT30	M_EXP	MBSAL1_5	MBSAL610	MBSA1120	MBSA2130	MBSAGT30	M_BSAL
2005790	72.7	27.3	29.5	18.2	25.0	20.5	6.8	13	34331	35235	39446	40163	45665	37740
2005800	41.9	58.1	-1.0	22.6	32.3	29.0	9.7	18	-1	35367	40161	46448	47655	41082
2005820	67.9	32.1	21.4	32.1	28.6	-1.0	10.7	13	31372	32285	36995	-1	43525	35298
2005850	48.3	51.7	17.2	24.1	31.0	20.7	-1.0	14	30530	34670	41054	44569	-1	38532
2005870	64.6	35.4	14.6	12.5	31.3	20.8	20.8	19	30972	33597	38782	40800	39239	37510
2005910	64.7	35.3	0.0	35.3	35.3	23.5	-1.0	15	-2	32923	35327	38419	-1	35366
2005940	54.4	45.6	25.7	20.4	25.5	21.2	7.2	14	33850	39333	44604	51714	57246	43183
2006000	48.3	51.7	19.0	15.5	19.0	25.9	20.7	19	30877	34511	39766	43182	44602	39149
2006060	80.0	20.0	22.9	17.1	34.3	14.3	11.4	16	28261	35568	35418	38773	43564	35218
2006090	70.4	29.6	32.1	29.6	21.0	13.6	3.7	11	33203	36411	42582	47045	50573	38645
2006120	64.6	35.4	20.8	16.7	25.0	22.9	14.6	17	28529	29618	36128	44842	46192	36924
2006180	59.3	40.7	15.9	11.0	27.6	31.0	14.5	18	27075	32471	37241	43323	46647	38352
2006210	92.9	-1.0	28.6	28.6	-1.0	28.6	0.0	12	32956	35843	-1	40500	-2	36407
2006240	65.8	34.2	18.4	21.1	21.1	23.7	15.8	17	34964	37838	40951	44296	46570	40872
2006270	65.9	34.1	13.6	15.9	25.0	29.5	15.9	19	33483	35316	39847	45301	46436	40918
2006300	61.5	38.5	26.9	15.4	30.8	19.2	7.7	15	32930	34344	40284	49511	52996	40142
2006330	48.7	51.3	25.2	21.7	27.8	18.3	7.0	14	35188	40443	46997	51986	54615	44035
2006360	79.2	20.8	31.3	18.8	18.8	20.8	10.4	15	34639	38472	42404	44904	44599	39989
2006390	74.0	26.0	31.5	20.6	24.9	15.8	7.2	13	32559	36195	41482	45669	47342	38668
2006420	60.6	39.4	31.9	25.6	26.8	12.2	3.5	11	36255	41173	45638	57790	58061	43426
2006450	76.5	23.5	14.8	16.0	29.6	25.9	13.6	17	31166	36312	38627	43266	43745	39048
2006480	57.6	42.4	13.6	22.0	18.6	30.5	15.3	18	37728	40535	44084	47128	50133	44292
2006510	78.9	21.1	21.1	31.6	36.8	-1.0	-1.0	13	24919	29800	32543	-1	-1	30241
2006540	47.6	52.4	17.5	22.7	35.8	19.7	4.4	14	36219	43476	48734	54127	56884	46770
